Região;Unidade da Federação;Quantidade;Vl.Aprovado
Centro Oeste;DF;4.139,00;2.579.547.771,60
;GO;2.063,00;1.182.096.382,34
;MS;580,00;274.973.006,58
;MT;699,00;390.583.300,38
;Total;7.481,00;4.427.200.460,92
Nordeste;AL;285,00;117.486.065,97
;BA;4.038,00;2.673.403.038,59
;CE;2.190,00;1.178.547.254,42
;MA;715,00;426.198.496,54
;PB;585,00;268.000.896,45
;PE;2.601,00;2.186.336.189,45
;PI;322,00;139.612.193,36
;RN;483,00;245.899.421,34
;SE;310,00;175.249.612,71
;Total;11.529,00;7.410.733.168,87
Norte;AC;59,00;24.676.132,26
;AM;383,00;254.682.598,84
;AP;56,00;28.412.713,34
;PA;862,00;633.572.627,21
;RO;177,00;85.560.107,36
;RR;32,00;10.450.560,07
;TO;225,00;63.091.149,57
;Total;1.794,00;1.100.445.888,68
Sudeste;ES;1.234,00;799.213.094,46
;MG;15.596,00;9.889.651.004,33
;RJ;29.337,00;24.411.017.185,90
;SP;40.640,00;37.592.867.382,36
;Total;86.807,00;72.692.748.667,07
Sul;PR;8.732,00;3.993.464.739,13
;RS;10.050,00;5.298.881.765,59
;SC;6.069,00;2.579.196.680,02
;Total;24.851,00;11.871.543.184,76
Total Geral;;132.462,00;97.502.671.370,33
